batch_size,adam_lr,probits_mae,default,logits_loss,id,loss,probits_acc1,flattened_input,hidden_layers,probits_acc,probits_loss,max_epochs,dropout_p,seed,hidden_activation,output_type,hidden_dim
64,0.001,1.035812258720398,2.4501795768737793,2.401078939437866,pcbkM,2.401078939437866,0.7231811285018921,False,3,0.3926439881324768,,500,0.1,21,swish,ordinal_coral_unweighted,32
32,0.001,1.0217777490615845,2.5436863899230957,2.3647208213806152,mQVSE,2.3647208213806152,0.7304403781890869,False,1,0.3923213481903076,,500,0.5,21,swish,ordinal_coral_unweighted,64
128,0.001,1.089369297027588,2.560119152069092,1.8180040121078491,UctmA,1.8180040121078491,0.6888207793235779,False,2,0.4134537875652313,,500,0.5,21,swish,categorical_smoothed,128
32,0.001,1.1184061765670776,2.526931047439575,1.8322581052780151,BoiJl,1.8322581052780151,0.6834973096847534,False,2,0.4111953675746918,,500,0.1,21,swish,categorical_smoothed,128
64,0.0001,1.1034038066864014,2.7207791805267334,,mqCqP,0.04931578412652016,0.7026939988136292,True,2,0.36941441893577576,0.04931578412652016,500,0.5,21,swish,ordinal_vanilla,16
64,0.001,1.0187126398086548,2.3424956798553467,,ej7MV,0.04548165947198868,0.7278593182563782,False,2,0.39974188804626465,0.04548165947198868,500,0.5,21,swish,ordinal_vanilla,512
64,0.001,1.1216325759887695,2.3884849548339844,1.5372490882873535,YsBZ8,1.5372490882873535,0.6775286197662354,True,2,0.40829166769981384,,500,0.1,21,swish,categorical_unsmoohted,256
64,0.01,1.0859816074371338,2.578376531600952,2.517714500427246,f5Stx,2.517714500427246,0.7038232088088989,False,3,0.3852234184741974,,500,0.1,21,swish,ordinal_coral_unweighted,128
32,0.001,1.1763187646865845,2.757204532623291,1.8520557880401611,pCG4C,1.8520557880401611,0.6623649001121521,False,1,0.4065171778202057,,500,0.5,21,swish,categorical_smoothed,512
64,0.01,1.0737215280532837,2.5461254119873047,2.1154701709747314,lJBYc,2.1154701709747314,0.7115663886070251,False,1,0.37828680872917175,,500,0.5,21,swish,ordinal_coral_weighted,512
128,0.01,1.0972737073898315,2.515500068664551,2.564408540725708,AiL2I,2.564408540725708,0.7002742290496826,True,2,0.3845781683921814,,500,0.1,21,swish,ordinal_coral_unweighted,64
64,0.001,1.0243587493896484,2.4211196899414062,,hxdoJ,0.045984771102666855,0.7356024980545044,True,3,0.3895789682865143,0.045984771102666855,500,0.1,21,swish,ordinal_vanilla,512
64,0.001,1.0204871892929077,2.4032092094421387,,gkJgy,0.045309633016586304,0.7320535778999329,True,2,0.3902242183685303,0.045309633016586304,500,0.1,21,swish,ordinal_vanilla,16
128,0.0001,1.0275851488113403,2.577502727508545,2.4075746536254883,fiy0T,2.4075746536254883,0.727536678314209,False,1,0.3940958082675934,,500,0.5,21,swish,ordinal_coral_unweighted,256
128,0.01,1.0319405794143677,2.3471386432647705,,l0Jkc,0.046429503709077835,0.7223745584487915,False,1,0.401839017868042,0.046429503709077835,500,0.1,21,swish,ordinal_vanilla,32
32,0.01,1.2222939729690552,2.8984339237213135,1.5609384775161743,FAD5y,1.5609384775161743,0.6434909105300903,True,2,0.4016776978969574,,500,0.5,21,swish,categorical_unsmoohted,16
128,0.01,1.0688821077346802,2.735391616821289,2.0931613445281982,f7Uwv,2.0931613445281982,0.7030166387557983,False,2,0.4023229479789734,,500,0.5,21,swish,ordinal_coral_weighted,64
32,0.001,1.0485562086105347,2.6776158809661865,2.062885046005249,iRVpn,2.062885046005249,0.7147927284240723,False,3,0.3969995081424713,,500,0.5,21,swish,ordinal_coral_weighted,32
64,0.0001,1.0374253988265991,2.5677006244659424,2.057373285293579,pDEzL,2.057373285293579,0.7209227085113525,False,3,0.39587029814720154,,500,0.5,21,swish,ordinal_coral_weighted,128
32,0.0001,1.02064847946167,2.541379928588867,2.362802028656006,VSKfA,2.362802028656006,0.7315695881843567,True,2,0.394257128238678,,500,0.5,21,swish,ordinal_coral_unweighted,128
64,0.0001,1.2211647033691406,2.812887191772461,1.8647559881210327,I4dh5,1.8647559881210327,0.6449427604675293,True,3,0.3982900381088257,,500,0.5,21,swish,categorical_smoothed,512
128,0.0001,1.0164542198181152,2.4713516235351562,2.401649236679077,LIblk,2.401649236679077,0.7294725179672241,False,3,0.4016776978969574,,500,0.1,21,swish,ordinal_coral_unweighted,64
